Designator,Mid X,Mid Y,Rotation,Layer
C1,181.02,-82.35,0.0,top
C10,197.51,-90.595983,270.0,top
C11,199.61,-90.595983,270.0,top
C12,185.88,-99.5,90.0,top
C13,176.18,-99.6,270.0,top
C2,182.9,-81.05,270.0,top
C3,181.02,-81.0,0.0,top
C4,191.1,-78.545,90.0,top
C5,187.95,-88.4625,90.0,top
C6,185.6,-85.0625,0.0,top
C7,186.7075,-81.045,180.0,top
C8,186.7075,-82.345,180.0,top
C9,191.31,-90.745983,90.0,top
D1,186.65,-91.2125,90.0,top
D2,174.69,-102.9,180.0,top
F1,194.85,-100.65,180.0,top
J1,175.13,-75.1,270.0,top
J2,174.025,-87.81,0.0,top
J3,202.925,-87.81,0.0,top
J4,200.1,-98.9,90.0,top
J5,173.48,-99.5,0.0,top
L1,191.625,-95.265983,0.0,top
Q1,179.7875,-88.55,180.0,top
Q2,179.8,-91.3775,180.0,top
R1,194.52,-88.55,180.0,top
R10,182.1,-91.2,90.0,top
R11,177.9,-90.35,0.0,top
R2,192.76,-88.0,90.0,top
R3,176.78,-102.3,90.0,top
R4,195.7,-98.55,90.0,top
R5,196.7,-98.12,90.0,top
R6,199.85,-83.35,0.0,top
R7,186.18,-101.9,0.0,top
R8,182.1,-88.6,90.0,top
R9,177.9,-87.55,0.0,top
S1,182.35,-73.5,180.0,top
U1,185.5,-88.175,90.0,top
U2,188.0075,-78.545,180.0,top
U3,181.65,-77.85,180.0,top
U4,194.823,-90.595983,180.0,top
U5,198.6,-85.76,180.0,top
U6,181.08,-100.8,90.0,top
